2022
1
Bills,Rams,Rams,0
Saints,Falcons,Saints,1
49ers,Bears,49ers,0
Steelers,Bengals,Bengals,0
Eagles,Lions,Eagles,1
Patriots,Dolphins,Patriots,0
Ravens,Jets,Ravens,1
Jaguars,Commanders,Jaguars,0
Browns,Panthers,Panthers,0
Colts,Texans,Texans,0
Buccaneers,Cowboys,Buccaneers,1
Giants,Titans,Titans,0
Packers,Vikings,Vikings,1
Chiefs,Cardinals,Cardinals,0
Raiders,Chargers,Chargers,1
Broncos,Seahawks,Broncos,0
2
Chargers,Chiefs,Chiefs,1
Jets,Browns,Jets,1
Commanders,Lions,Lions,1
Buccaneers,Saints,Saints,0
Panthers,Giants,Panthers,0
Patriots,Steelers,Patriots,1
Colts,Jaguars,Colts,0
Dolphins,Ravens,Ravens,0
Falcons,Rams,Rams,1
Seahawks,49ers,Seahawks,0
Bengals,Cowboys,Cowboys,1
Texans,Broncos,Broncos,1
Cardinals,Raiders,Cardinals,1
Bears,Packers,Bears,0
Titans,Bills,Titans,0
Vikings,Eagles,Eagles,1
3
Steelers,Browns,Browns,1
Saints,Panthers,Saints,0
Texans,Bears,Texans,0
Chiefs,Colts,Chiefs,0
Bills,Dolphins,Dolphins,1
Lions,Vikings,Vikings,1
Ravens,Patriots,Ravens,1
Bengals,Jets,Bengals,1
Raiders,Titans,Titans,1
Eagles,Commanders,Eagles,1
Jaguars,Chargers,Jaguars,1
Rams,Cardinals,Rams,1
Falcons,Seahawks,Seahawks,0
Packers,Buccaneers,Buccaneers,0
49ers,Broncos,Broncos,1
Cowboys,Giants,Cowboys,1,Cowboys,1
4
Dolphins,Bengals,Dolphins,0
Vikings,Saints,Saints,0
Commanders,Cowboys,Cowboys,77,1
Browns,Falcons,Browns,87,0
Seahawks,Lions,Seahawks,72,1
Titans,Colts,Titans,81,1
Bears,Giants,Bears,80,0
Jaguars,Eagles,Eagles,91,1
Jets,Steelers,Steelers,87,0
Bills,Ravens,Bills,20,1
Texans,Chargers,Chargers,79,1
Cardinals,Panthers,Cardinals,54,1
Patriots,Packers,Packers,39,1
Broncos,Raiders,Raiders,48,1
Chiefs,Buccaneers,Chiefs,2,1
Rams,49ers,Rams,50,0
5
Colts,Broncos,Colts,81.24,1
Giants,Packers,Packers,84.52,0
Steelers,Bills,Bills,51.12,1
Chargers,Browns,Browns,20.93,0
Texans,Jaguars,Texans,75.05,1
Bears,Vikings,Vikings,60.15,1
Seahawks,Saints,Saints,45.72,1
Lions,Patriots,Patriots,48.91,1
Dolphins,Jets,Dolphins,96.47,0
Falcons,Buccaneers,Buccaneers,84.00,1
Titans,Commanders,Titans,91.75,1
49ers,Panthers,49ers,87.64,1
Eagles,Cardinals,Eagles,32.82,1
Cowboys,Rams,Rams,17.69,0
Bengals,Ravens,Ravens,54.22,1
Raiders,Chiefs,Chiefs,53.33,1
6
Commanders,Bears,Bears,34.88,0
49ers,Falcons,49ers,86.58,0
Patriots,Browns,Patriots,51.11,1
Jaguars,Colts,Colts,90.65,1
Jets,Packers,Packers,89.17,0
Vikings,Dolphins,Vikings,0.68,1
Bengals,Saints,Saints,89.0,0
Ravens,Giants,Ravens,82.96,0
Buccaneers,Steelers,Buccaneers,13.64,0
Panthers,Rams,Rams,95.09,1
Cardinals,Seahawks,Seahawks,67.04,1
Bills,Chiefs,Chiefs,8.53,0
