id,date,team1,team2,category,rideCalculated,rideActual
1,"January 31 2024","Cleveland Cavaliers","Detroit Pistons",spread,1,1
2,"January 31 2024","Los Angeles Clippers","Washington Wizards",spread,0,0
3,"January 31 2024","New Orleans Pelicans","Houston Rockets",spread,0,0
4,"January 31 2024","Dallas Mavericks","Minnesota Timberwolves",spread,1,0
5,"January 31 2024","San Antonio Spurs","Orlando Magic",spread,1,0
6,"January 31 2024","Phoenix Suns","Brooklyn Nets",spread,1,0
7,"February 01 2024","Cleveland Cavaliers","Memphis Grizzlies",spread,0,1
8,"February 06 2024","Brooklyn Nets","Dallas Mavericks",spread,1,0
9,"February 06 2024","Milwaukee Bucks","Phoenix Suns",spread,1,0
12,"February 07 2024","Toronto Raptors","Charlotte Hornets",spread,1,1
13,"February 07 2024","Boston Celtics","Atlanta Hawks",spread,1,1
14,"February 07 2024","San Antonio Spurs","Miami Heat",spread,1,0
15,"February 07 2024","Detroit Pistons","Sacramento Kings",spread,1,1
16,"February 07 2024","Los Angeles Clippers","New Orleans Pelicans",spread,1,1
17,"February 08 2024","New York Knicks","Dallas Mavericks",spread,1,0
18,"February 14 2024","Atlanta Hawks","Charlotte Hornets",spread,1,1
19,"February 14 2024","Brooklyn Nets","Boston Celtics",spread,1,0
20,"February 14 2024","Toronto Raptors","Indiana Pacers",spread,0,0
21,"February 14 2024","San Antonio Spurs","Dallas Mavericks",spread,1,0
22,"February 14 2024","Los Angeles Clippers","Golden State Warriors",spread,0,0
23,"February 22 2024","Philadelphia 76ers","New York Knicks",overUnder,1,1
24,"February 22 2024","Brooklyn Nets","Toronto Raptors",overUnder,0,1
25,"February 22 2024","Oklahoma City Thunder","Los Angeles Clippers",spread,0,1
26,"February 22 2024","Charlotte Hornets","Utah Jazz",spread,0,1
27,"February 22 2024","Charlotte Hornets","Utah Jazz",overUnder,1,1
28,"February 22 2024","Philadelphia 76ers","New York Knicks",overUnder,1,1
29,"February 22 2024","Brooklyn Nets","Toronto Raptors",overUnder,0,1
30,"February 22 2024","Oklahoma City Thunder","Los Angeles Clippers",spread,0,1
31,"February 22 2024","Charlotte Hornets","Utah Jazz",spread,0,1
32,"February 22 2024","Charlotte Hornets","Utah Jazz",overUnder,1,1
33,"February 22 2024","Philadelphia 76ers","New York Knicks",overUnder,1,1
34,"February 22 2024","Brooklyn Nets","Toronto Raptors",overUnder,0,1
35,"February 22 2024","Oklahoma City Thunder","Los Angeles Clippers",spread,0,1
36,"February 22 2024","Charlotte Hornets","Utah Jazz",spread,0,1
37,"February 22 2024","Charlotte Hornets","Utah Jazz",overUnder,1,1
38,"February 22 2024","Philadelphia 76ers","New York Knicks",overUnder,1,1
39,"February 22 2024","Brooklyn Nets","Toronto Raptors",overUnder,0,1
40,"February 22 2024","Oklahoma City Thunder","Los Angeles Clippers",spread,0,1
41,"February 22 2024","Charlotte Hornets","Utah Jazz",spread,0,1
42,"February 22 2024","Charlotte Hornets","Utah Jazz",overUnder,1,1
43,"February 22 2024","Philadelphia 76ers","New York Knicks",overUnder,1,1
44,"February 22 2024","Brooklyn Nets","Toronto Raptors",overUnder,0,1
45,"February 22 2024","Oklahoma City Thunder","Los Angeles Clippers",spread,0,1
46,"February 22 2024","Charlotte Hornets","Utah Jazz",spread,0,1
47,"February 22 2024","Charlotte Hornets","Utah Jazz",overUnder,1,1
48,"February 22 2024","Philadelphia 76ers","New York Knicks",overUnder,1,1
49,"February 22 2024","Brooklyn Nets","Toronto Raptors",overUnder,0,1
50,"February 22 2024","Oklahoma City Thunder","Los Angeles Clippers",spread,0,1
51,"February 22 2024","Charlotte Hornets","Utah Jazz",spread,0,1
52,"February 22 2024","Charlotte Hornets","Utah Jazz",overUnder,1,1
53,"February 26 2024","Detroit Pistons","New York Knicks",overUnder,0,1
54,"February 27 2024","Minnesota Timberwolves","San Antonio Spurs",spread,1,1
55,"February 28 2024","Toronto Raptors","Dallas Mavericks",overUnder,1,1
56,"February 28 2024","Sacramento Kings","Denver Nuggets",overUnder,0,1
