id,gameNumber,teamNumber,isHome,oppTeamNumber,isWin,isOT,gameDayNumber,gameStartNumber,teamPoints,oppTeamPoints,teamWins,teamLosses,teamStreakCode,isInSeasonTournament,year,spread,spreadOdds,overUnder,overUnderOdds,moneyLine,gameTimeActual,spreadCalculated,overUnderCalculated,spreadActual,overUnderActual,date
10022,1,0,0,2,0,0,3,15,134,138,0,1,99,0,2022,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10023,1,0,1,1,1,0,2,15,126,117,1,0,101,0,2023,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10024,1,0,0,2,1,0,3,14,108,104,1,0,101,0,2024,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10122,1,1,0,27,1,0,3,16,117,97,1,0,101,0,2022,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10123,1,1,0,0,0,0,2,15,117,126,0,1,99,0,2023,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10124,1,1,0,5,0,0,4,15,117,118,0,1,99,0,2024,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10222,1,2,1,0,1,0,3,15,138,134,1,0,101,0,2022,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10223,1,2,0,28,0,1,3,15,112,115,0,1,99,0,2023,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10224,1,2,1,0,0,0,3,14,104,108,0,1,99,0,2024,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10322,1,3,0,5,0,0,2,15,104,127,0,1,99,0,2022,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10323,1,3,1,27,0,0,3,15,108,130,0,1,99,0,2023,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10324,1,3,1,7,0,0,3,15,113,114,0,1,99,0,2024,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10422,1,4,1,14,0,0,3,15,83,98,0,1,99,0,2022,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10423,1,4,1,7,1,0,3,15,108,105,1,0,101,0,2023,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10424,1,4,1,15,1,0,3,15,97,94,1,0,101,0,2024,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10522,1,5,1,3,1,0,2,15,127,104,1,0,101,0,2022,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10523,1,5,0,1,1,0,4,15,90,88,1,0,101,0,2023,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10524,1,5,1,1,1,0,4,15,118,117,1,0,101,0,2024,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10622,1,6,0,13,0,0,3,14,122,123,0,1,99,0,2022,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10623,1,6,1,14,0,0,3,14,107,114,0,1,99,0,2023,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10624,1,6,1,14,1,0,3,14,143,120,1,0,101,0,2024,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10722,1,7,0,28,0,0,3,16,121,132,0,1,99,0,2022,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10723,1,7,0,4,0,0,3,15,105,108,0,1,99,0,2023,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10724,1,7,0,3,1,0,3,15,114,113,1,0,101,0,2024,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10822,1,8,0,9,1,0,3,14,94,88,1,0,101,0,2022,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10823,1,8,0,11,1,0,3,15,116,108,1,0,101,0,2023,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10824,1,8,1,16,0,0,3,16,104,124,0,1,99,0,2024,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10922,1,9,1,8,0,0,3,14,88,94,0,1,99,0,2022,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10923,1,9,1,10,1,0,3,14,113,109,1,0,101,0,2023,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10924,1,9,0,11,0,0,3,15,102,103,0,1,99,0,2024,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20022,2,0,1,4,0,0,5,15,83,115,0,2,98,0,2022,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20023,2,0,0,11,1,0,5,15,111,104,2,0,102,0,2023,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20024,2,0,1,11,1,0,5,15,119,111,2,0,102,0,2024,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20122,2,1,1,3,0,0,5,15,109,114,1,1,99,0,2022,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20123,2,1,1,5,0,0,4,15,88,90,0,2,98,0,2023,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20124,2,1,0,4,1,0,6,15,114,107,1,1,101,0,2024,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20222,2,2,0,10,1,0,5,14,121,96,2,0,102,0,2022,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20223,2,2,1,9,1,0,5,15,130,106,1,1,101,0,2023,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20224,2,2,0,12,1,0,5,15,126,120,1,1,101,0,2024,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20322,2,3,0,1,1,0,5,15,114,109,1,1,101,0,2022,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20323,2,3,1,4,1,0,5,15,109,105,1,1,101,0,2023,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20324,2,3,0,25,0,0,5,17,120,125,0,2,98,0,2024,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20422,2,4,0,0,1,0,5,15,115,83,1,1,101,0,2022,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20423,2,4,0,3,0,0,5,15,105,109,1,1,99,0,2023,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20424,2,4,0,8,0,1,5,16,103,104,1,1,99,0,2024,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20522,2,5,0,11,0,0,4,16,95,137,1,1,99,0,2022,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20523,2,5,1,26,1,0,6,16,125,105,2,0,102,0,2023,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20524,2,5,1,12,0,0,0,14,110,127,1,1,99,0,2024,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20622,2,6,0,14,0,1,5,14,134,135,0,2,98,0,2022,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
